House_ID	WGS_ID_as_string	Isolate_Type	forced_EC_scheme	MLST results	rMLST_specie	ST	ExPEC	ETEC	EPEC	STEC	EAEC	DAEC	EIEC	CRO
SD0008	123	Stool Samples Mother + Ceftriaxone	ecoli	ecoli	Escherichia coli	10	No	No	No	No	No	No	No	1
SD0008	124	Stool Samples Child + Ceftriaxone	ecoli	ecoli	Escherichia coli	155	No	No	No	No	No	No	No	1
SD0144	125	Water	ecoli	ecoli	Escherichia coli	349	No	No	No	No	No	No	No	0
SD0144	127	Stool Samples Child	ecoli	ecoli	Escherichia coli	5459	No	No	No	No	No	No	No	0
SD0144	128	Stool Samples Mother + Ceftriaxone	ecoli	ecoli	Escherichia coli	117	MaybeExPEC	No	No	No	No	No	No	1
SD0144	129	Stool Samples Child + Ceftriaxone	ecoli	ecoli	Escherichia coli	2847	No	No	No	No	No	No	No	1
SD0101	130	Stool Samples Mother	ecoli	ecoli	Escherichia coli	164	No	No	No	No	No	No	No	0
SD0101	131	Stool Samples Child	ecoli	ecoli	Escherichia coli	349	MaybeExPEC	No	No	No	No	No	No	0
SD0101	132	Stool Samples Mother + Ceftriaxone	ecoli	ecoli	Escherichia coli	315	No	No	No	No	No	Yes	No	1
SD0101	133	Stool Samples Child + Ceftriaxone	ecoli	ecoli	Escherichia coli	315	No	No	No	No	No	Yes	No	1
SD0077	134	Water	ecoli	ecoli	Escherichia coli	-	No	No	No	No	No	No	No	0
SD0077	135	Stool Samples Mother	ecoli	ecoli	Escherichia coli	155	No	No	No	No	No	No	No	0
SD0077	136	Stool Samples Child	ecoli	cfreundii	Escherichia coli	-	No	No	No	No	No	No	No	0
SD0077	137	Stool Samples Child + Ceftriaxone	ecoli	ecoli	Escherichia coli	2964	No	No	No	No	No	No	No	1
SD0145	138	Stool Samples Mother	ecoli	ecoli	Escherichia coli	4741	No	No	No	No	No	No	No	0
SD0145	139	Stool Samples Child	ecoli	ecoli	Escherichia coli	131	MaybeExPEC	No	No	No	No	Yes	No	0
SD0145	140	Stool Samples Mother + Ceftriaxone	ecoli	ecoli	Escherichia coli	212	No	No	No	No	No	No	No	0
SD0145	141	Stool Samples Child + Ceftriaxone	ecoli	ecoli	Escherichia coli	117	MaybeExPEC	No	No	No	No	No	No	1
SD0085	142	Water	ecoli	ecoli	Escherichia coli	38	MaybeExPEC	No	No	No	No	No	No	1
SD0085	143	Water + Ceftriaxone	ecoli	ecoli	Escherichia coli	354	No	No	No	No	No	No	No	1
SD0085	144	Stool Samples Mother	ecoli	ecoli	Escherichia coli	452	No	No	No	No	No	No	No	0
SD0085	145	Stool Samples Child	ecoli	ecoli	Escherichia coli	10	No	No	No	No	No	No	No	0
SD0032	148	Stool Samples Child	ecoli	ecoli	Escherichia coli	641	No	No	No	No	No	No	No	0
SD0032	149	Stool Samples Mother + Ceftriaxone	ecoli	ecoli	Escherichia coli	10	No	No	No	No	No	No	No	1
SD0032	150	Stool Samples Child + Ceftriaxone	ecoli	ecoli	Escherichia coli	10	No	No	No	No	No	No	No	1
SD0066	151	Water	ecoli	ecoli	Escherichia coli	1172	No	No	No	No	No	No	No	0
SD0066	152	Stool Samples Mother	ecoli	ecoli	Escherichia coli	3288	No	No	No	No	No	No	No	0
SD0066	153	Stool Samples Child	ecoli	ecoli	Escherichia coli	93	MaybeExPEC	No	No	No	No	Yes	No	0
SD0066	154	Stool Samples Mother + Ceftriaxone	ecoli	ecoli	Escherichia coli	3580	No	No	No	No	No	No	No	1
SD0066	155	Stool Samples Child + Ceftriaxone	ecoli	ecoli	Escherichia coli	38	No	No	No	No	No	Yes	No	1
SD0091	156	Stool Samples Mother	ecoli	ecoli	Escherichia coli	-	MaybeExPEC	No	No	No	No	No	No	0
SD0091	157	Stool Samples Child	ecoli	ecoli	Escherichia coli	351	No	No	No	No	No	No	No	0
SD0091	158	Stool Samples Mother + Ceftriaxone	ecoli	ecoli	Escherichia coli	3580	No	No	No	No	No	No	No	1
SD0091	159	Stool Samples Child + Ceftriaxone	ecoli	ecoli	Escherichia coli	38	No	No	No	No	No	Yes	No	1
